"surveyID","bdod_0.5cm_mean","cec_0.5cm_mean","cfvo_0.5cm_mean","clay_0.5cm_mean","nitrogen_0.5cm_mean","ocd_0.5cm_mean","phh2o_0.5cm_mean","sand_0.5cm_mean","silt_0.5cm_mean","soc_0.5cm_mean","Water","Mangroves","Grassland","Buildings","Herb Wetland","Tree cover","Cropland","Bare","Shrubland","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Lat","Long","b1","Year","NPP_y","Npp_QC","Yearly_NDVI","Yearly_leaf_area_index_high_vegetation","Yearly_leaf_area_index_low_vegetation","Herb.Wetland.2","Tree.cover.2","Herb.Wetland.1","Tree.cover.1","Herb.Wetland","Tree.cover","col.names"
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2022,0.98695,31.5,4625.13636363636,0,1.56787733768654,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2023,0.96155,26,4920.95652173913,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2024,0.79805,39.5,4344.34090909091,0,1.56762154866408,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2025,0.7013,40,4241.59090909091,0,1.57867529509104,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2002,0.6677,17.5,5515.23863636364,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2003,1.023075,16,5777.57954545455,1.8559541264121,2.4293656000305,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2004,0.96445,17.5,5601.5652173913,1.86229909382079,2.43325315494401,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2005,0.9872,23.5,5782.45454545455,1.88144254637837,2.44419919291738,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2006,1.107975,27.75,5949.76136363636,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
"Anjos_Site 1_Microstachys_serrulata_Survey 1",130.25,92.75,14.5,366.75,1330.5,253,51.75,449.25,184,205.5,NA,NA,0.346938775510204,NA,NA,0.306122448979592,0.244897959183673,NA,0.102040816326531,216.75,123.25,68,1732,292.75,113,179.75,231,193.5,231,189.25,1461.25,279,9,80.5,748.75,33,703.75,53,-18.983807,-48.301442,0.986974999308586,2007,0.9932,19.25,5662.26136363636,1.86241868382571,2.43332224137996,NA,NA,NA,NA,NA,NA,NA
